 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   16200.0000      0.0000      0.2000   1419.6751    703.0000     49.8324
   16400.0000      0.0000      0.2000   1419.6698    703.0000     49.8321
   16600.0000      0.0000      0.2000   1419.6654    703.0000     49.8319
   16800.0000      0.0000      0.2000   1419.6617    703.0000     49.8316
   17000.0000      0.0000      0.2000   1419.6586    703.0000     49.8315
   17200.0000      0.0000      0.2000   1419.6560    703.0000     49.8313
   17400.0000      0.0000      0.2000   1419.6538    703.0000     49.8312
   17600.0000      0.0000      0.2000   1419.6519    703.0000     49.8311
   17800.0000      0.0000      0.2000   1419.6503    703.0000     49.8310
   18000.0000      0.0000      0.2000   1419.6490    703.0000     49.8309
   18200.0000      0.0000      0.2000   1419.6479    703.0000     49.8309
   18400.0000      0.0000      0.2000   1419.6469    703.0000     49.8308
                                                                         
                                                                         
 ========================================================================
 Npos =  4
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.5000      0.0000    300.0000    478.5730     62.2137
     200.0000      0.5000      0.0000    380.1906    459.3912     59.0076
     400.0000      0.5000      0.0000    448.6853    491.4666     55.9443
     600.0000      0.5000      0.0000    509.7635    532.8963     53.1084
     800.0000      0.5000      0.0000    565.5743    569.5102     50.5291
    1000.0000      0.5000      0.0000    617.6851    597.7473     48.2014
    1140.0000      0.5000      0.0000    652.7389    613.0082     46.7090
    1340.0000      0.5000      0.0000    746.1791    646.5413     43.1501
    1540.0000      0.5000      0.0000    826.1485    691.7283     40.7405
    1740.0000      0.5000      0.0000    893.0155    774.0635     39.2805
    1940.0000      0.5000      0.0000    947.6984    897.9379     38.5091
    2140.0000      0.5000      0.0000    992.3839   1055.0261     38.1817
    2340.0000      0.5000      0.0000   1029.3419   1234.6213     38.1255
    2540.0000      0.5000      0.0000   1070.8447    994.8747     38.3006
    2740.0000      0.5000      0.0000   1111.6293    873.2984     38.7225
    2940.0000      0.5000      0.0000   1149.1321    786.6927     39.3312
    3060.0000      0.5000      0.0000   1169.8204    749.9633     39.7579
    3260.0000      0.5000      0.0000   1226.6905    703.0000     41.2621
    3460.0000      0.5000      0.0000   1271.3229    703.0000     42.7788
    3660.0000      0.5000      0.0000   1307.5680    703.0000     44.2230
    3860.0000      0.5000      0.0000   1337.9894    703.0000     45.5784
    4060.0000      0.5000      0.0000   1363.7133    703.0000     46.8235
    4260.0000      0.5000      0.0000   1385.6098    703.0000     47.9529
    4460.0000      0.5000      0.0000   1404.3411    703.0000     48.9682
    4660.0000      0.5000      0.0000   1420.4130    703.0000     49.8747
    4860.0000      0.5000      0.0000   1434.2192    703.0000     50.6788
    4980.0000      0.5000      0.0000   1441.7595    703.0000     51.1276
    5180.0000      0.5000      0.0000   1449.9538    703.0000     51.6230
    5380.0000      0.5000      0.0000   1457.7753    703.0000     52.1031
    5580.0000      0.5000      0.0000   1464.9180    703.0000     52.5477
    5780.0000      0.5000      0.0000   1471.2662    703.0000     52.9477
    5980.0000      0.5000      0.0000   1476.8103    703.0000     53.3007
    6180.0000      0.5000      0.0000   1481.5957    703.0000     53.6081
    6380.0000      0.5000      0.0000   1485.6934    703.0000     53.8733
    6580.0000      0.5000      0.0000   1489.1826    703.0000     54.1006
    6780.0000      0.5000      0.0000   1492.1420    703.0000     54.2943
    6980.0000      0.5000      0.0000   1494.6447    703.0000     54.4589
    7180.0000      0.5000      0.0000   1496.7567    703.0000     54.5984
    7380.0000      0.5000      0.0000   1498.5361    703.0000     54.7162
    7580.0000      0.5000      0.0000   1500.0334    703.0000     54.8156
    7780.0000      0.5000      0.0000   1501.2922    703.0000     54.8993
    7980.0000      0.5000      0.0000   1502.3496    703.0000     54.9698
    8180.0000      0.5000      0.0000   1503.2373    703.0000     55.0291
    8380.0000      0.5000      0.0000   1503.9821    703.0000     55.0789
    8400.0000      0.5000      0.0000   1504.0552    703.0000     55.0838
    8600.0000      0.5000      0.0000   1478.3910    703.0000     53.4019
    8800.0000      0.5000      0.0000   1462.2322    703.0000     52.3798
    9000.0000      0.5000      0.0000   1451.1735    703.0000     51.6974
    9200.0000      0.5000      0.0000   1443.0504    703.0000     51.2051
    9400.0000      0.5000      0.0000   1436.7526    703.0000     50.8288
    9600.0000      0.5000      0.0000   1431.6823    703.0000     50.5293
    9800.0000      0.5000      0.0000   1427.4975    703.0000     50.2844
   10000.0000      0.5000      0.0000   1423.9888    703.0000     50.0808
   10200.0000      0.5000      0.0000   1421.0181    703.0000     49.9095
   10400.0000      0.5000      0.0000   1418.4877    703.0000     49.7645
   10600.0000      0.5000      0.0000   1416.3246    703.0000     49.6411
   10800.0000      0.5000      0.0000   1414.4712    703.0000     49.5359
   11000.0000      0.5000      0.0000   1412.8811    703.0000     49.4459
   11200.0000      0.5000      0.0000   1411.5156    703.0000     49.3689
   11400.0000      0.5000      0.0000   1410.3426    703.0000     49.3030
   11600.0000      0.5000      0.0000   1409.3346    703.0000     49.2464
   11800.0000      0.5000      0.0000   1408.4682    703.0000     49.1980
   12000.0000      0.5000      0.0000   1407.7236    703.0000     49.1563
   12200.0000      0.5000      0.0000   1407.0835    703.0000     49.1206
   12400.0000      0.5000      0.0000   1406.5335    703.0000     49.0900
   12600.0000      0.5000      0.0000   1406.0607    703.0000     49.0637
   12800.0000      0.5000      0.0000   1405.6544    703.0000     49.0411
   13000.0000      0.5000      0.0000   1405.3053    703.0000     49.0217
   13200.0000      0.5000      0.0000   1405.0053    703.0000     49.0051
   13400.0000      0.5000      0.0000   1404.7476    703.0000     48.9908
   13600.0000      0.5000      0.0000   1404.5262    703.0000     48.9785
   13800.0000      0.5000      0.0000   1404.3360    703.0000     48.9680
   14000.0000      0.5000      0.0000   1404.1727    703.0000     48.9589
   14200.0000      0.5000      0.0000   1404.0324    703.0000     48.9511
   14400.0000      0.5000      0.0000   1403.9119    703.0000     48.9445
   14600.0000      0.5000      0.0000   1403.8085    703.0000     48.9388
   14800.0000      0.5000      0.0000   1403.7197    703.0000     48.9338
   15000.0000      0.5000      0.0000   1403.6434    703.0000     48.9296
   15200.0000      0.5000      0.0000   1403.5780    703.0000     48.9260
   15400.0000      0.5000      0.0000   1403.5218    703.0000     48.9229
   15600.0000      0.5000      0.0000   1403.4735    703.0000     48.9202
   15800.0000      0.5000      0.0000   1403.4321    703.0000     48.9179
